uniq,SUBJID,1_17634547_17634563,1_9756480_9756511,10_110132304_110132401,10_7806973_7807011,10_84499874_84499960,10_95414493_95414863,11_57791384_57791674,12_121244572_121244616,14_103498501_103498529,17_17180606_17180670,19_10921374_10921444,19_7905807_7905856,2_46958494_46958553,22_29531077_29531111,7_134935687_134935766,9_128609650_128609666,9_2651414_2651499,X_31126641_31126674
GTEX-11GSP-0011-R7b-SM-57WC3,GTEX-11GSP,0.27835051546391754,0.4063926940639269,0.19367588932806323,0.9576515880654476,0.7727272727272727,0.1388888888888889,0.9701492537313433,0.9634146341463414,0.40468227424749165,0.21626617375231053,0.9344262295081968,0.35135135135135137,0.8333333333333334,0.1111111111111111,0.1348314606741573,0.9703903095558546,0.40425531914893614,0.7551020408163265
GTEX-11GSP-0011-R8b-SM-5NQ79,GTEX-11GSP,0.07142857142857142,0.26,0.16591928251121077,0.94579945799458,0.3877551020408163,0.23232323232323232,0.9545454545454546,0.5,0.511400651465798,0.3413654618473896,0.7752808988764045,0.12195121951219512,0.3968253968253968,0.3333333333333333,0.14492753623188406,0.9623588456712673,0.6,0.34146341463414637
GTEX-11GSP-0011-R9b-SM-5NQ77,GTEX-11GSP,0.28,0.46153846153846156,0.11949685534591195,0.9242424242424242,0.875,0.22033898305084745,0.9130434782608695,0.6571428571428571,0.34146341463414637,0.4117647058823529,0.8933333333333333,0.06666666666666667,0.5217391304347826,0.125,0.03125,0.9754816112084063,0.7959183673469388,0.76
GTEX-11GSP-0126-SM-5A5KU,GTEX-11GSP,0.7128205128205128,0.6615384615384615,0.1300639658848614,0.3800841514726508,0.4772727272727273,0.9090909090909091,0.5905511811023622,0.4766355140186916,0.44418052256532065,0.8434343434343434,0.22727272727272727,0.6956521739130435,0.5466666666666666,0.6060606060606061,0.5173824130879345,0.475968992248062,0.3402061855670103,0.6435643564356436
GTEX-11GSP-0226-SM-5A5KV,GTEX-11GSP,0.21428571428571427,0.6442307692307693,0.028037383177570093,0.19142857142857142,0.2786885245901639,1.0,0.8165137614678899,0.3577981651376147,0.7478991596638656,0.926829268292683,0.1793103448275862,0.6666666666666666,0.8333333333333334,0.23333333333333334,0.01335559265442404,0.43829787234042555,0.4383735705209657,0.07407407407407407
GTEX-11GSP-0326-SM-5A5KW,GTEX-11GSP,0.1,0.1,0.05263157894736842,0.96759941089838,0.125,1.0,0.7,0.030303030303030304,0.3961605584642234,0.4107142857142857,0.3153153153153153,0.2,0.3103448275862069,0.21212121212121213,0.1791044776119403,0.125,0.125,0.10204081632653061
GTEX-11GSP-0426-SM-5A5KX,GTEX-11GSP,0.9340659340659341,0.0,0.8507462686567164,0.9903147699757869,0.0,1.0,0.14285714285714285,0.38461538461538464,0.05555555555555555,0.32098765432098764,0.12195121951219512,0.15789473684210525,0.058823529411764705,0.1111111111111111,0.38461538461538464,0.32075471698113206,0.1111111111111111,0.00425531914893617
GTEX-11GSP-0626-SM-5986T,GTEX-11GSP,1.0,0.5555555555555556,0.08,0.9552238805970149,0.38461538461538464,1.0,0.5555555555555556,0.01818181818181818,0.2350230414746544,0.8634538152610441,0.2727272727272727,0.3333333333333333,0.5,0.07692307692307693,0.168141592920354,0.2857142857142857,1.0,0.06285714285714286
GTEX-11GSP-0726-SM-5986L,GTEX-11GSP,0.1864406779661017,0.3090909090909091,0.2826086956521739,0.5152487961476726,0.26881720430107525,0.8347107438016529,0.811965811965812,0.3939393939393939,0.4881516587677725,0.7079953650057937,0.2261904761904762,0.5254237288135594,0.40425531914893614,0.4146341463414634,0.19943422913719944,0.19821162444113263,0.43243243243243246,0.5151515151515151
GTEX-11GSP-1126-SM-5A5LM,GTEX-11GSP,0.851380042462845,0.8666666666666667,0.023255813953488372,0.18691588785046728,0.49206349206349204,0.9079497907949791,0.8260869565217391,0.9540229885057471,0.9080459770114943,0.9639389736477115,0.0891089108910891,0.8787878787878788,0.8064516129032258,0.7746478873239436,0.6657789613848203,0.1669793621013133,0.4827586206896552,0.5393939393939394
GTEX-11GSP-1226-SM-5985M,GTEX-11GSP,0.09933774834437085,0.7,0.012048192771084338,0.027642276422764227,0.7681159420289855,0.9794871794871794,0.8666666666666667,0.25,0.8111587982832618,0.9297052154195011,0.5688622754491018,1.0,0.7419354838709677,0.4782608695652174,0.5461254612546126,0.5619047619047619,0.7707006369426752,0.7333333333333333
